그와는 다른 생각을 갖고 있다,부정
별로 좋은 생각 같지 않다,부정
다른 생각이 있을 수 없다,부정
별로 좋은 생각이 아니다,부정
아주 좋은 생각은 아니다,망설임
그렇게 하는 것이 좋겠다,긍정
다른 생각을 갖고 있다,부정
다른 의견을 갖고 있다,부정
한 번 생각 해 보겠다,유보적
동의 하지 않을 것이다,부정
한번 생각 해 보겠다,유보적
한 번 생각 해 보겠다,유보적
좋은 생각이 아니다,부정
기대에는 못 미친다,부정
좀 더 노력 해야겠다,부정
그와 같은 생각이다,긍정
너와 같은 생각이다,긍정
많은 부분이 다르다,부정
한번 생각 해 보겠다,유보적
좀더 노력 해야겠다,부정
됐다 안됐다 하네,부정
이런 식으로 할래,부정
동의 하지 못하겠다,부정
다른 생각이 없다,부정
하고 싶지 않다,부정
그걸로 해주세 요,긍정
그렇게 생각 해,긍정
한 번 해 보자,긍정
그렇긴 그러네 요,긍정
그렇긴 그렇네 요,긍정
그러한 것 같아,긍정
노력이 가상 하군,긍정
이런식으로 할래,부정
동의 하지 못하다,부정
동의할 수 없다,부정
똑같은 생각이다,긍정
똑같은 의견이다,긍정
일치 하지 않는다,부정
그렇지 아니 하다,부정
잘 모르겠어 요,유보적
그렇게 생각 해,긍정
그것으로 해 요,긍정
좋은 생각이다,긍정
나쁜 생각이다,부정
좋아할 만 하다,긍정
싫어할 만 하다,부정
한 번 해 보자,긍정
한번 해 보자,긍정
난 또 뭐라고,부정
동의 하지 않다,부정
동의할수 없다,부정
동의 하기 싫다,부정
다른 생각이다,부정
다른 의견이다,부정
같은 생각이다,긍정
맞는 생각이다,긍정
그럴 수 없다,부정
싫어할만 하다,부정
그게 좋겠다,긍정
나쁘지 않다,모호함
그럴까 말까,망설임
그걸로 해 요,긍정
한번 해 보자,긍정
그냥 그랬어,부정
그저 그랬어,부정
그냥 그렇네,부정
그저 그렇네,부정
그런것 같아,긍정
그렇게 보여,긍정
이게 무어야,부정
별 것 없네,부정
쑥쑥 자라렴,모호함
판타스틱 하다,긍정
잘 좀 해 봐,부정
아직 멀었다,부정
그럴수 없다,부정
감개무량 하다,긍정
공평무사되다,긍정
공평무사 하다,긍정
나긋나긋되다,긍정
나긋나긋 하다,긍정
먹음직스럽다,긍정
안성맞춤되다,긍정
안성맞춤 하다,긍정
애지중지 하다,긍정
의기양양 하다,긍정
자신만만 하다,긍정
푸릇푸릇 하다,긍정
흥미 진진 하다,긍정
가슴앓이되다,부정
가슴앓이 하다,부정
거드름피우다,부정
고리타분 하다,부정
극악무도되다,부정
극악무도 하다,부정
기절초풍 하다,부정
날품팔이되다,부정
날품팔이 하다,부정
노발대발 하다,부정
노심초사 하다,부정
다이너마이트,부정
망연자실 하다,부정
무시무시 하다,부정
불만족스럽다,부정
서먹서먹 하다,부정
소매치기되다,부정
소매치기 하다,부정
수수방관 하다,부정
싱숭생숭 하다,부정
아슬아슬 하다,부정
아연실색 하다,부정
안달복달 하다,부정
안절부절 하다,부정
어처구니없다,부정
오락가락 하다,부정
우유부단 하다,부정
위태위태되다,부정
위태위태 하다,부정
으르렁거리다,부정
의기소침 하다,부정
인사불성되다,부정
자포자기되다,부정
자포자기 하다,부정
